trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.1, 'e': 0.682554595010387}",20,0,-64.73354982316407,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.6757290490602831}",25,9,-73.85644117014304,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
40,False,"{'a': 0.1, 'e': 0.6689717585696803}",20,0,-88.2535396592433,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.6622820409839835}",30,5,-57.652670383039826,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.1, 'e': 0.6556592205741436}",30,17,-91.87672941096342,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
43,False,"{'a': 0.1, 'e': 0.6491026283684022}",25,3,-25.550579555407186,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.6426116020847181}",20,0,-107.01500817690672,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.6361854860638709}",20,0,-60.00688915650689,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.6298236312032323}",25,0,-57.964051523924745,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.6235253948912}",20,13,-26.661325591549012,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.617290140942288}",25,0,-88.368435108891,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.6111172395328651}",20,14,-8.279465576158389,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.6050060671375365}",25,11,11.71305843768361,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
